numbers,Fe-Fe bond,Fe-C bond,1-fold,2-fold,3-fold,4-fold,5-fold,location,ads,ads(mass),Eb(eV)
19,2.483085048,2.33700566,3,3,13,0,0,0,8,16,-3.290616142
1,2.418080331,2.291081554,1,0,0,0,0,0,8,16,-2.749312738
2,2.417693986,2.281972243,1,0,1,0,0,0,8,16,-3.076498551
3,2.417677606,2.292225531,2,0,1,0,0,0,8,16,-3.023270827
4,2.44501718,2.291048711,2,0,2,0,0,0,8,16,-3.235920411
5,2.446577993,2.299068805,1,1,3,0,0,0,8,16,-3.527739167
6,2.468200991,2.286451037,1,1,4,0,0,0,8,16,-3.585724047
7,2.446022537,2.289299608,1,2,4,0,0,0,8,16,-3.552906753
8,2.457702805,2.284559405,1,3,4,0,0,0,8,16,-3.532299401
9,2.449570544,2.265176033,1,4,4,0,0,0,8,16,-3.590207487
10,2.459864438,2.284126929,1,5,4,0,0,0,8,16,-3.559098719
11,2.464269982,2.288928676,1,5,5,0,0,0,8,16,-3.572970691
12,2.469244605,2.317548536,1,5,6,0,0,0,8,16,-3.581348415
13,2.482942554,2.284484234,1,6,6,0,0,0,8,16,-3.57649045
14,2.489168393,2.290971496,0,8,6,0,0,0,8,16,-3.608785913
15,2.490931629,2.284459255,0,8,7,0,0,0,8,16,-3.633381743
16,2.493923783,2.286432264,0,8,8,0,0,0,8,16,-3.657382281
17,2.512643082,2.287201182,0,8,9,0,0,0,8,16,-3.606669318
18,2.507854733,2.283278518,0,9,9,0,0,0,8,16,-3.550884764
19,2.530805313,2.299280693,0,9,9,1,0,0,8,16,-3.480829137
1,2.405752737,2.272334741,0,0,1,0,0,0,8,16,-3.524183378
2,2.416216598,2.269487472,0,1,1,0,0,0,8,16,-3.158696875
3,2.421182858,2.277877441,0,1,2,0,0,0,8,16,-3.56920788
4,2.432447118,2.278287257,0,1,3,0,0,0,8,16,-3.516040866
5,2.435610466,2.273200157,0,1,4,0,0,0,8,16,-3.590074901
6,2.443122989,2.273800076,0,2,4,0,0,0,8,16,-3.661541894
7,2.441738752,2.275779932,1,2,4,0,0,0,8,16,-3.564191483
8,2.44380234,2.268800959,1,2,5,0,0,0,8,16,-3.608044507
9,2.474676323,2.286077865,1,1,7,0,0,0,8,16,-3.62108286
10,2.475081126,2.302381726,1,1,8,0,0,0,8,16,-3.585645391
11,2.457875681,2.27567754,1,1,9,0,0,0,8,16,-3.478112846
12,2.463023848,2.26739342,1,2,9,0,0,0,8,16,-3.448347623
13,2.47764242,2.272847127,2,2,9,0,0,0,8,16,-3.416731598
14,2.474070043,2.299616854,2,2,10,0,0,0,8,16,-3.428713124
15,2.474401131,2.303823449,1,4,9,1,0,0,8,16,-3.480636994
16,2.465507486,2.34596537,1,4,9,1,0,0,8,16,-3.438726372
17,2.469643289,2.37423379,1,4,11,1,0,0,8,16,-3.456974367
18,2.463787201,2.301713662,2,4,11,1,0,0,8,16,-3.382074852
19,2.463301911,2.239012229,2,4,11,2,0,0,8,16,-3.348510413
20,2.498399856,2.174901826,2,5,12,1,0,0,8,16,-3.354165232
1,2.438822596,2.277402045,1,0,0,0,0,0,8,16,-2.492468763
2,2.429760356,2.281638787,1,1,0,0,0,0,8,16,-3.092609766
3,2.419988282,2.269829594,1,1,1,0,0,0,8,16,-3.540120649
4,2.425686913,2.278136966,1,2,1,0,0,0,8,16,-3.493811567
5,2.420911119,2.29428945,1,3,1,0,0,0,8,16,-3.442804573
6,2.426456145,2.291986175,1,3,2,0,0,0,8,16,-3.495477645
7,2.431877706,2.287352661,1,2,4,0,0,0,8,16,-3.518203139
8,2.440030953,2.292581479,0,3,5,0,0,0,8,16,-3.671585261
9,2.448500383,2.295547614,0,3,6,0,0,0,8,16,-3.65076169
10,2.461570862,2.310368578,0,3,7,0,0,0,8,16,-3.685156779
11,2.467903514,2.304452563,0,3,8,0,0,0,8,16,-3.664414743
12,2.448156025,2.314465763,0,3,9,0,0,0,8,16,-3.592171871
13,2.469258831,2.309802258,0,4,9,0,0,0,8,16,-3.514269695
14,2.457356869,2.266495261,0,3,11,0,0,0,8,16,-3.647533821
15,2.457864311,2.23739513,0,3,12,0,0,0,8,16,-3.606246992
16,2.466964712,2.205676585,0,3,13,0,0,0,8,16,-3.544096722
17,2.485536512,2.224938755,0,3,14,0,0,0,8,16,-3.585290855
18,2.477078284,2.244991104,0,3,15,0,0,0,8,16,-3.519105957
1,2.421309906,2.319924804,0,0,1,0,0,0,8,16,-3.205186819
2,2.419970592,2.30015716,1,0,1,0,0,0,8,16,-3.269835808
3,2.419107915,2.290424719,1,0,2,0,0,0,8,16,-3.416925821
4,2.426468479,2.297616777,1,0,3,0,0,0,8,16,-3.416125777
5,2.426837733,2.268837418,2,0,3,0,0,0,8,16,-3.344574411
6,2.427595424,2.302682062,3,0,3,0,0,0,8,16,-3.304414719
7,2.444096233,2.304266566,2,1,4,0,0,0,8,16,-3.427802577
8,2.425163831,2.310153131,3,1,4,0,0,0,8,16,-3.351700234
9,2.437029511,2.29380874,3,1,5,0,0,0,8,16,-3.410972258
10,2.443439827,2.297248932,4,1,5,0,0,0,8,16,-3.352962599
